Group	Name	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
Archeo	SF_21_Ed	-0.0954	0.1569	0.1355	-0.1100	-0.0245	0.0461	-0.0773	-0.1426	-0.4367	0.2420	Control
Archeo	SF_22_Ed	-0.0937	0.1642	0.1013	-0.1033	-0.0322	0.0223	-0.0603	-0.1411	-0.1191	0.0608	Control
Archeo	SF_23_Ed	-0.1226	0.1875	0.1031	-0.1309	-0.0440	0.0312	-0.0224	0.0345	0.2188	-0.0012	Control
Archeo	SF_27_Be	-0.0115	-0.0003	-0.0185	0.0332	0.0184	-0.0205	0.0377	0.0160	-0.0105	0.0038	Control
Archeo	SF_28_Ed	-0.0878	0.1342	0.0461	-0.0839	-0.0633	-0.0052	-0.0341	-0.1066	0.0451	0.0240	Control
Archeo	SF_29_Br	-0.0314	0.0125	-0.0199	0.0402	0.0558	-0.0203	0.0943	0.1189	0.0017	-0.0273	Control
Archeo	SF_33_Cl	-0.0215	-0.0023	-0.0199	0.0252	0.0127	-0.0088	0.0209	0.0055	0.0309	-0.0274	Control
Archeo	SF_35b_C	-0.0249	0.0074	-0.0229	0.0241	0.0212	-0.0197	0.0329	0.0223	0.0023	0.0042	Control
Archeo	SF_37_Cl	-0.0085	-0.0153	-0.0160	0.0217	0.0038	-0.0257	0.0231	-0.0085	0.0221	-0.0040	Control
Archeo	SF_37b_C	0.1291	0.0377	0.0018	-0.0041	-0.0266	-0.0645	0.0467	0.0132	0.0272	-0.0028	Control
Archeo	SF_38_Cl	-0.0120	-0.0264	0.0137	-0.0417	0.0364	-0.0262	0.0170	-0.0197	0.0249	0.0015	Control
Archeo	SF_39_Ma	-0.0045	0.0084	-0.0171	0.0247	0.0186	-0.0007	0.0076	0.0062	0.0043	-0.0062	Control
Archeo	SF_41_Ed	-0.0840	0.1161	0.0581	-0.0721	-0.0276	0.0150	-0.0071	-0.0492	0.1170	0.0064	Control
Archeo	SF_43_Ed	-0.0842	0.1440	0.0499	-0.1130	-0.0317	0.0235	-0.0190	-0.0508	0.1801	-0.0293	Control
Archeo	SF_45_Ed	-0.0823	0.1592	0.0553	-0.1179	-0.0341	0.0288	-0.0232	-0.0531	0.2062	-0.0326	Control
Archeo	SF_46_Ed	-0.0672	0.0925	0.0565	-0.0703	-0.0183	-0.0045	-0.0390	-0.0097	0.0059	0.0092	Control
Archeo	SF_48_Ed	-0.0196	0.0273	-0.0032	0.0172	0.0054	-0.0004	0.0120	0.0151	-0.0034	-0.0117	Control
Archeo	SF_51_Ma	-0.0262	0.0188	-0.0126	0.0046	0.0218	-0.0086	0.0164	0.0206	0.0373	-0.0056	Control
Archeo	SF_52_Cl	-0.0175	0.0090	-0.0080	0.0058	0.0057	-0.0142	0.0147	-0.0102	-0.0110	0.0240	Control
Archeo	SF_55_Cl	-0.0181	0.0125	0.0064	0.0187	0.0109	-0.0076	-0.0062	-0.0085	0.0391	0.0019	Control
Archeo	SF_57_Cl	-0.0144	-0.0091	-0.0223	-0.0076	0.0341	0.0096	-0.0143	-0.0067	0.0481	0.0126	Control
Archeo	SF_59_Ne	-0.0223	0.0113	-0.0150	0.0031	0.0020	-0.0311	0.0051	0.0444	0.0376	-0.0070	Control
Archeo	SF_63a_B	-0.0821	0.1026	0.0360	-0.0730	-0.0199	0.0248	-0.0707	-0.0177	0.0891	-0.0571	Control
Archeo	SF_63b_B	-0.0941	0.1340	0.0517	-0.0873	-0.0298	0.0218	-0.0932	-0.0102	0.1127	-0.0780	Control
Archeo	SF_64a_B	-0.0700	0.0946	0.0220	-0.0629	-0.0221	0.0205	-0.0281	0.0101	0.1261	-0.0507	Control
Archeo	SF_65a_e	-0.0306	0.0182	0.0052	-0.0136	-0.0125	-0.0075	-0.0142	-0.0083	0.0026	0.0025	Control
Archeo	SF_65b_A	-0.0208	-0.0019	0.0025	-0.0078	0.0033	-0.0272	-0.0299	0.0102	0.0304	-0.0107	Control
Archeo	SF_65c_e	-0.0229	0.0005	-0.0178	0.0001	0.0107	-0.0118	0.0001	0.0077	0.0120	-0.0127	Control
Archeo	SF_65e_A	-0.0319	0.0089	0.0095	0.0213	0.0114	-0.0055	0.0254	0.0126	-0.0183	-0.0144	Control
Archeo	SF_65f_A	-0.0277	0.0188	-0.0020	0.0043	0.0051	-0.0026	0.0068	0.0098	0.0329	-0.0267	Control
Archeo	SF_65g_e	-0.0486	0.0346	-0.0004	-0.0218	-0.0089	-0.0151	-0.0094	-0.0083	0.0430	-0.0171	Control
Archeo	SF_65h_e	-0.0324	0.0149	-0.0066	0.0004	-0.0008	0.0034	0.0116	-0.0087	0.0067	-0.0155	Control
Archeo	SF_65i_A	-0.0298	0.0203	-0.0011	0.0039	0.0088	-0.0203	0.0189	0.0112	0.0382	-0.0186	Control
Archeo	SF_65j_e	-0.0163	0.0187	0.0069	-0.0087	-0.0072	-0.0186	0.0135	-0.0066	0.0162	-0.0075	Control
Archeo	SF_65k_e	-0.0424	0.0280	0.0089	-0.0030	0.0052	-0.0147	-0.0206	0.0058	-0.0081	0.0095	Control
Archeo	SF_65l_A	-0.0326	0.0251	0.0038	0.0065	0.0089	-0.0112	0.0303	0.0034	-0.0018	-0.0064	Control
Archeo	SF_65m_A	-0.0351	0.0198	-0.0028	-0.0007	0.0058	-0.0050	-0.0023	-0.0125	0.0037	0.0004	Control
Archeo	SF_66a_I	-0.0378	0.0386	0.0045	-0.0095	0.0031	-0.0035	0.0003	0.0053	0.0191	-0.0051	Control
Archeo	SF_01_Ne	-0.0247	0.0354	0.0040	-0.0007	0.0391	-0.0043	-0.0006	0.0730	0.0114	0.0074	Control
Archeo	SF_04_Mo	-0.0335	0.0114	0.0019	0.0295	0.0257	-0.0184	0.0384	0.0612	-0.0017	-0.0309	Control
Archeo	SF_06_Gr	-0.0541	0.0367	0.0138	0.0101	0.0583	0.0333	-0.0319	0.0879	-0.1154	-0.1197	Control
Archeo	SF_14_Pu	-0.0228	0.0140	-0.0161	0.0224	0.0290	-0.0056	0.0284	0.0325	-0.0061	-0.0083	Control
Archeo	SF_17_Ne	-0.0155	0.0143	-0.0249	0.0013	0.0177	-0.0131	0.0150	0.0275	0.0342	-0.0077	Control
Archeo	SF_20_Po	-0.0422	0.0210	-0.0388	0.0414	0.0690	-0.0158	0.1082	0.0921	-0.0375	-0.0297	Control
Archeo	SF_30_Ed	-0.0776	0.1095	0.0360	-0.0474	0.0069	0.0242	-0.0034	0.0151	0.0743	-0.0391	Control
Archeo	SF_31_Co	-0.0239	-0.0027	-0.0805	0.0505	0.0708	-0.0165	0.0889	0.1145	-0.0122	-0.0143	Control
Archeo	SF_32_Cl	0.0024	-0.0098	-0.0891	0.0282	0.0693	0.0076	0.0446	0.0697	0.0064	-0.0238	Control
Archeo	SF_35_Cl	-0.0233	-0.0024	-0.0377	0.0383	0.0445	-0.0269	0.0533	0.0497	0.0108	-0.0153	Control
Archeo	SF_40_Ma	-0.0209	-0.0005	-0.0147	0.0234	0.0304	-0.0159	0.0234	0.0343	-0.0085	-0.0030	Control
Archeo	SF_42_Ed	-0.0955	0.1382	0.1121	-0.1005	-0.0269	0.0435	-0.0725	-0.1277	-0.3834	0.2112	Control
Archeo	SF_49_Ed	-0.0620	0.0354	-0.0297	0.0386	0.0742	-0.0383	0.1065	0.1856	0.0022	-0.0721	Control
Archeo	SF_50_Ed	-0.0619	0.0826	0.0480	-0.0187	-0.0062	0.0587	-0.0099	0.0455	-0.0975	-0.0853	Control
Archeo	SF_58_Ne	-0.0367	0.0446	-0.0098	0.0083	0.0400	-0.0009	-0.0041	0.0605	-0.0168	-0.0451	Control
Archeo	SF_64b_B	-0.0753	0.0946	0.0295	-0.0641	-0.0268	0.0174	-0.0257	-0.0025	0.0958	-0.0424	Control
Archeo	SF_65d_A	-0.0552	0.0237	0.0026	-0.0036	0.0020	-0.0079	0.0085	0.0022	0.0131	-0.0252	Control
Landrace	Anzac_Pueblo	0.0160	-0.1395	-0.1000	0.1459	0.0372	-0.0767	0.0288	-0.1330	0.0679	0.1763	Control
Landrace	Arikara	0.0771	-0.1237	-0.1162	0.1286	0.0113	-0.1353	0.0108	-0.2689	0.0474	0.4538	Control
Landrace	Havasupai	-0.0222	-0.1425	-0.0375	0.1229	-0.0127	-0.0892	-0.0794	-0.1295	0.0239	0.0403	Control
Landrace	Hidatsa1	0.0082	-0.0591	-0.0618	0.0605	0.0256	-0.0371	0.0195	-0.0568	0.0319	0.0008	Control
Landrace	Hopi_dye	-0.0351	-0.0597	-0.0084	0.0228	-0.0082	-0.0822	-0.0703	-0.0173	-0.0179	-0.0234	Control
Landrace	Hopi	0.0094	-0.1511	-0.1377	0.1644	0.0694	-0.0663	0.0286	-0.1375	0.1137	0.2305	Control
Landrace	Laguna_Pueblo	0.0095	-0.0721	-0.0818	0.0685	0.0167	-0.0365	0.0061	-0.0621	0.0357	0.0353	Control
Landrace	Mandan2	-0.0110	-0.1004	-0.0816	0.1154	0.0411	-0.0807	0.0506	-0.0833	0.0521	0.0963	Control
Landrace	MexCult14	0.0056	-0.0488	-0.0519	0.0580	0.0187	-0.0345	0.0130	-0.0496	0.0171	0.0558	Control
Landrace	MexCult15	0.0008	-0.0462	-0.0443	0.0662	0.0331	-0.0401	0.0354	-0.0237	0.0038	0.0391	Control
Landrace	MexCult1	0.0151	-0.0870	-0.0784	0.0943	0.0295	-0.0524	0.0286	-0.0828	0.0286	0.0755	Control
Landrace	MexCult3	-0.0143	-0.0529	-0.0506	0.0744	0.0226	-0.0353	0.0251	-0.0320	0.0183	0.0045	Control
Landrace	MexCult6	0.0154	-0.0911	-0.0464	0.0813	0.0050	-0.0417	0.0093	-0.0698	0.0160	0.0017	Control
Landrace	MexCult7	0.0009	-0.0665	-0.0468	0.0959	0.0171	-0.0488	0.0605	-0.0449	0.0141	0.0970	Control
Landrace	MexCult9	0.0056	-0.0661	-0.0629	0.0710	0.0311	-0.0400	0.0041	-0.0661	0.0247	0.0872	Control
Landrace	Pueblo	-0.0035	-0.0741	-0.0650	0.0773	0.0115	-0.0509	0.0112	-0.0609	0.0320	0.0299	Control
Landrace	Seneca	0.0014	-0.1165	-0.0520	0.1229	0.0258	-0.0586	-0.0294	-0.1242	0.0554	0.0338	Control
Landrace	Zuni	0.0045	-0.1022	-0.0944	0.1033	0.0253	-0.0609	0.0333	-0.1121	0.0543	0.1104	Control
wild	ann04-nwAR	-0.0061	-0.1470	0.0371	0.0347	-0.1358	-0.3488	-0.7016	0.3743	-0.0615	0.0308	Control
wild	ann06-seWY	0.0186	-0.0766	-0.0240	0.0624	0.0088	-0.0149	-0.0112	-0.0470	0.0074	0.0024	Control
wild	ann08-ceTN	-0.0029	-0.0881	-0.0437	0.0716	-0.0091	-0.0490	-0.0316	-0.0867	0.0534	-0.0542	Control
wild	ann20-seAZ	0.0626	-0.4316	0.3709	-0.5493	0.3665	-0.0809	0.0970	0.0079	0.0395	0.0324	Control
wild	ann44-ccCA	0.0085	-0.1827	-0.0422	0.0326	-0.0218	-0.0462	-0.1401	-0.3435	-0.1910	-0.5649	Control
wild	annMex_A1516	0.0351	-0.1822	0.0338	0.0512	-0.2464	0.1637	0.0225	-0.1528	-0.1521	-0.2003	Control
wild	annMex_A1517	0.0284	-0.1937	-0.0017	0.0477	-0.2416	0.1542	0.0358	-0.1174	0.0281	-0.1290	Control
wild	annMex_A1572	0.0230	-0.2218	0.0455	-0.0310	-0.3282	0.3093	0.0162	0.0357	0.0125	-0.0999	Control
wild	annMex_A1574	0.0091	-0.1515	-0.0252	0.0724	-0.1367	0.0958	-0.0049	-0.0998	0.0223	-0.0155	Control
wild	annMex_Ann261	0.0348	-0.2353	0.0883	-0.0814	-0.4603	0.4269	0.1102	0.3093	-0.0209	0.2261	Control
